"","id","Value"
"471","dumb",239.4
"472","dumb",240.8
"473","dumb",240.8
"474","dumb",240.8
"475","dumb",240.8
"476","dumb",240.8
"477","dumb",240.8
"478","dumb",240.8
"479","dumb",240.8
"480","dumb",242.2
"481","dumb",242.2
"482","dumb",242.2
"483","dumb",242.2
"484","dumb",242.2
"485","dumb",242.2
"486","dumb",242.2
"487","dumb",242.2
"488","dumb",242.2
"489","dumb",243.6
"490","dumb",243.6
"491","dumb",243.6
"492","dumb",243.6
"493","dumb",243.6
"494","dumb",243.6
"495","dumb",243.6
"496","dumb",245
"497","dumb",245
"498","dumb",245
"499","dumb",245
"500","dumb",245
"501","dumb",245
"502","dumb",246.4
"503","dumb",246.4
"504","dumb",246.4
"505","dumb",246.4
"506","dumb",246.4
"507","dumb",246.4
"508","dumb",247.8
"509","dumb",247.8
"510","dumb",247.8
"511","dumb",247.8
"512","dumb",247.8
"513","dumb",247.8
"514","dumb",249.2
"515","dumb",249.2
"516","dumb",249.2
"517","dumb",249.2
"518","dumb",249.2
"519","dumb",249.2
"520","dumb",249.2
"521","dumb",249.2
"522","dumb",249.2
"523","dumb",250.6
"524","dumb",250.6
"525","dumb",250.6
"526","dumb",250.6
"527","dumb",250.6
"528","dumb",250.6
"529","dumb",250.6
"530","dumb",250.6
"531","dumb",250.6
"532","dumb",252
"533","dumb",252
"534","dumb",252
"535","dumb",252
"536","dumb",252
"537","dumb",252
"538","dumb",252
"539","dumb",253.4
"540","dumb",253.4
"541","dumb",253.4
"542","dumb",253.4
"543","dumb",253.4
"544","dumb",253.4
"545","dumb",253.4
"546","dumb",254.8
"547","dumb",254.8
"548","dumb",254.8
"549","dumb",254.8
"550","dumb",254.8
"551","dumb",254.8
"552","dumb",254.8
"553","dumb",254.8
"554","dumb",254.8
"555","dumb",256.2
"556","dumb",256.2
"557","dumb",256.2
"558","dumb",256.2
"559","dumb",256.2
"560","dumb",256.2
"561","dumb",256.2
"562","dumb",256.2
"563","dumb",256.2
"564","dumb",257.6
"565","dumb",257.6
"566","dumb",257.6
"567","dumb",257.6
"568","dumb",257.6
"569","dumb",257.6
"570","dumb",257.6
"571","dumb",259
"572","dumb",259
"573","dumb",259
"574","dumb",259
"575","dumb",259
"576","dumb",260.4
"577","dumb",260.4
"578","dumb",260.4
"579","dumb",260.4
"580","dumb",260.4
"581","dumb",261.8
"582","dumb",261.8
"583","dumb",261.8
"584","dumb",261.8
"585","dumb",261.8
"586","dumb",261.8
"587","dumb",261.8
"588","dumb",263.2
"589","dumb",263.2
"590","dumb",263.2
"591","dumb",263.2
"592","dumb",263.2
"593","dumb",263.2
"594","dumb",263.2
"595","dumb",264.6
"596","dumb",264.6
"597","dumb",264.6
"598","dumb",264.6
"599","dumb",264.6
"600","dumb",264.6
"601","dumb",264.6
"602","dumb",264.6
"603","dumb",266
"604","dumb",266
"605","dumb",266
"606","dumb",266
"607","dumb",267.4
"608","dumb",267.4
"609","dumb",267.4
"610","dumb",267.4
"611","dumb",268.8
"612","dumb",268.8
"613","dumb",268.8
"614","dumb",268.8
"615","dumb",268.8
"616","dumb",270.2
"617","dumb",270.2
"618","dumb",270.2
"619","dumb",270.2
"620","dumb",271.6
"621","dumb",271.6
"622","dumb",271.6
"623","dumb",271.6
"624","dumb",271.6
"625","dumb",273
"626","dumb",273
"627","dumb",273
"628","dumb",273
"629","dumb",273
"630","dumb",273
"631","dumb",274.4
"632","dumb",274.4
"633","dumb",274.4
"634","dumb",274.4
"635","dumb",274.4
"636","dumb",274.4
"637","dumb",274.4
"638","dumb",275.8
"639","dumb",275.8
"640","dumb",275.8
"641","dumb",275.8
"642","dumb",275.8
"643","dumb",277.2
"644","dumb",277.2
"645","dumb",277.2
"646","dumb",277.2
"647","dumb",277.2
"648","dumb",277.2
"649","dumb",278.6
"650","dumb",278.6
"651","dumb",278.6
"652","dumb",278.6
"653","dumb",278.6
"654","dumb",278.6
"655","dumb",280
"656","dumb",280
"657","dumb",280
"658","dumb",280
"659","dumb",280
"660","dumb",280
"661","dumb",281.4
"662","dumb",281.4
"663","dumb",281.4
"664","dumb",281.4
"665","dumb",281.4
"666","dumb",282.8
"667","dumb",282.8
"668","dumb",282.8
"669","dumb",282.8
"670","dumb",282.8
"671","dumb",284.2
"672","dumb",284.2
"673","dumb",284.2
"674","dumb",284.2
"675","dumb",284.2
"676","dumb",284.2
"677","dumb",285.6
"678","dumb",285.6
"679","dumb",285.6
"680","dumb",285.6
"681","dumb",285.6
"682","dumb",285.6
"683","dumb",287
"684","dumb",287
"685","dumb",287
"686","dumb",287
"687","dumb",288.4
"688","dumb",288.4
"689","dumb",288.4
"690","dumb",289.8
"691","dumb",289.8
"692","dumb",289.8
"693","dumb",289.8
"694","dumb",289.8
"695","dumb",291.2
"696","dumb",291.2
"697","dumb",291.2
"698","dumb",291.2
"699","dumb",292.6
"700","dumb",292.6
"701","dumb",292.6
"702","dumb",292.6
"703","dumb",292.6
"704","dumb",292.6
"705","dumb",294
"706","dumb",294
"707","dumb",294
"708","dumb",294
"709","dumb",294
"710","dumb",295.4
"711","dumb",295.4
"712","dumb",295.4
"713","dumb",295.4
"714","dumb",295.4
"715","dumb",295.4
"716","dumb",296.8
"717","dumb",296.8
"718","dumb",296.8
"719","dumb",296.8
"720","dumb",296.8
"721","dumb",298.2
"722","dumb",298.2
"723","dumb",298.2
"724","dumb",299.6
"725","dumb",299.6
"726","dumb",299.6
"727","dumb",299.6
"728","dumb",301
"729","dumb",301
"730","dumb",301
"731","dumb",301
"732","dumb",302.4
"733","dumb",302.4
"734","dumb",302.4
"735","dumb",303.8
"736","dumb",303.8
"737","dumb",305.2
"738","dumb",305.2
"739","dumb",305.2
"740","dumb",306.6
"741","dumb",306.6
"742","dumb",306.6
"743","dumb",306.6
"744","dumb",306.6
"745","dumb",308
"746","dumb",308
"747","dumb",308
"748","dumb",309.4
"749","dumb",309.4
"750","dumb",309.4
"751","dumb",309.4
"752","dumb",310.8
"753","dumb",310.8
"754","dumb",310.8
"755","dumb",312.2
"756","dumb",312.2
"757","dumb",312.2
"758","dumb",313.6
"759","dumb",313.6
"760","dumb",313.6
"761","dumb",313.6
"762","dumb",315
"763","dumb",315
"764","dumb",316.4
"765","dumb",316.4
"766","dumb",317.8
"767","dumb",317.8
"768","dumb",317.8
"769","dumb",319.2
"770","dumb",319.2
"771","dumb",320.6
"772","dumb",320.6
"773","dumb",322
"774","dumb",322
"775","dumb",322
"776","dumb",322
"777","dumb",323.4
"778","dumb",323.4
"779","dumb",323.4
"780","dumb",323.4
"781","dumb",324.8
"782","dumb",324.8
"783","dumb",324.8
"784","dumb",324.8
"785","dumb",324.8
"786","dumb",324.8
"787","dumb",326.2
"788","dumb",326.2
"789","dumb",326.2
"790","dumb",326.2
"791","dumb",326.2
"792","dumb",327.6
"793","dumb",327.6
"794","dumb",327.6
"795","dumb",327.6
"796","dumb",327.6
"797","dumb",327.6
"798","dumb",327.6
"799","dumb",329
"800","dumb",329
"801","dumb",329
"802","dumb",329
"803","dumb",329
"804","dumb",329
"805","dumb",330.4
"806","dumb",330.4
"807","dumb",330.4
"808","dumb",330.4
"809","dumb",330.4
"810","dumb",330.4
"811","dumb",331.8
"812","dumb",331.8
"813","dumb",331.8
"814","dumb",331.8
